Place FIPS,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,0.2 PCT ANNUAL CHANCE FLOOD HAZARD CONTAINED IN CHANNEL,0.2 PCT ANNUAL CHANCE HAZARD,A,AE,VE,(blank),Grand Total
3700160.00,0.43,,,,4.22,,,4.65
3700440.00,0.08,,,,10.22,,,10.30
3700500.00,1.37,,,,10.22,,,11.59
3700640.00,1.44,,,,4.64,,,6.09
3700680.00,0.64,,,,7.19,,,7.83
3701000.00,9.79,,,,19.27,,,29.06
3701140.00,0.76,,,,11.58,,,12.34
3701340.00,0.20,,,,3.39,,,3.59
3701380.00,5.79,,,,14.96,,,20.76
3701400.00,0.22,,,,3.04,,,3.26
3701420.00,,,,,1.80,,,1.80
3701520.00,0.32,,,0.07,4.40,,,4.78
3701560.00,0.11,,,,0.44,,,0.55
3701720.00,0.86,,,,5.99,,,6.84
3701760.00,,,,,2.25,,,2.25
3701972.00,1.60,,,,38.28,,,39.87
3702080.00,0.39,,,,3.88,,,4.28
3702140.00,1.29,,,0.00,7.28,,,8.57
3702240.00,,,,,2.00,,,2.00
3702320.00,,,,,1.00,,,1.00
3702460.00,2.20,,,,8.56,,,10.76
3702480.00,18.46,,,,18.91,,,37.37
3702500.00,20.24,,,,63.58,10.67,,94.50
3702580.00,4.10,,,,14.78,,,18.88
3702620.00,10.71,,,,41.64,,,52.34
3702700.00,1.98,,,,34.95,,,36.93
3702760.00,0.16,,,,0.97,,,1.12
3702780.00,,,,,48.67,49.97,,98.64
3702840.00,0.57,,,,9.02,,,9.60
3702960.00,0.42,,,,3.08,,,3.49
3703100.00,,,5.62,,14.11,,,19.73
3703150.00,6.02,,,,39.32,37.92,,83.26
3703220.00,,,0.83,,4.68,,,5.51
3703500.00,1.82,,,,11.24,,,13.07
3703640.00,,,2.35,,38.39,,,40.74
3703665.00,0.07,,,,6.52,,,6.59
3703720.00,1.49,,,,10.53,,,12.02
3703840.00,3.60,,,,74.08,,,77.68
3703960.00,12.26,,,,42.98,,,55.24
3704015.00,7.22,,,,21.16,0.77,,29.14
3704040.00,7.43,,,,45.67,,,53.10
3704260.00,15.70,,,,32.14,26.70,,74.54
3704640.00,,,,,100.00,,,100.00
3704680.00,0.26,,,,5.50,,,5.77
3704840.00,0.80,,,0.00,3.14,,,3.95
3704950.00,2.10,,,,26.01,,,28.11
3704955.00,44.31,,,,27.91,,,72.22
3704960.00,,,,,5.23,,,5.23
3705040.00,,,,,1.00,,,1.00
3705135.00,0.59,,,,17.08,,,17.67
3705220.00,0.29,,,0.04,1.55,,,1.88
3705340.00,2.85,,,,30.10,,,32.95
3705460.00,0.02,,,,,,,0.02
3705530.00,0.01,,,,15.57,,,15.58
3705880.00,0.11,,,,3.89,,,4.00
3706000.00,,,,,3.16,,,3.16
3706080.00,0.10,,,,1.95,,,2.05
3706140.00,1.24,,,,12.37,,,13.61
3706240.00,0.39,,,,18.21,,,18.60
3706500.00,0.23,,,,3.52,,,3.75
3706510.00,1.76,,,,14.07,,,15.84
3706660.00,1.52,,,,36.11,,,37.63
3706740.00,4.59,,,,19.47,2.00,,26.07
3706760.00,0.54,,,0.79,4.41,,,5.73
3706800.00,,,,,0.47,,,0.47
3706820.00,,,,,18.69,,,18.69
3706860.00,,,,1.44,0.18,,,1.62
3706980.00,1.07,,,,9.41,,,10.48
3707080.00,2.87,,,,13.96,,,16.84
3707220.00,,,,,2.90,,,2.90
3707340.00,,,,,9.47,,,9.47
3707400.00,,,,,11.40,,,11.40
3707588.00,0.14,,,,0.17,,,0.31
3707720.00,,,4.05,,11.33,,,15.37
3707748.00,0.25,,,,2.26,,,2.51
3707765.00,1.31,,,,15.63,,,16.94
3707860.00,13.48,,,,61.70,,,75.18
3708040.00,1.48,,,,8.49,1.19,,11.16
3708140.00,1.53,,,,13.72,,,15.25
3708480.00,3.89,,,,17.57,,,21.46
3708760.00,4.32,,,,14.65,,,18.97
3708880.00,,,,,14.00,,,14.00
3708960.00,10.96,,,2.10,11.68,,,24.74
3709060.00,0.55,,,,13.32,,,13.87
3709140.00,,,2.11,,5.03,,,7.14
3709360.00,0.11,,,0.34,4.94,,,5.38
3709380.00,,,,,16.92,,,16.92
3709400.00,37.39,,,,42.36,18.62,,98.37
3709530.00,0.00,,,,1.68,,,1.68
3709540.00,4.74,,,,12.62,,,17.35
3709780.00,15.29,,,,45.67,,,60.97
3709800.00,,,,,11.44,,,11.44
3710240.00,0.05,,1.66,,11.33,,,13.04
3710260.00,4.77,,,,17.09,1.15,,23.00
3710264.00,2.56,,,,38.82,,,41.38
3710460.00,,,,,5.88,,,5.88
3710500.00,16.03,,,,44.84,8.63,,69.51
3710532.00,,,,,18.30,,,18.30
3710550.00,,,,,11.16,,,11.16
3710620.00,0.57,,,,6.32,,,6.88
3710680.00,0.49,,,,8.33,,,8.82
3710740.00,0.55,,,0.07,7.83,,,8.45
3710760.00,,,,,2.41,,,2.41
3710800.00,,,,,0.03,,,0.03
3710880.00,1.76,,,,43.16,,,44.92
3710960.00,4.97,,,,45.00,47.53,,97.50
3710980.00,0.45,,,,15.68,,,16.13
3711340.00,6.70,,,,26.22,4.71,,37.63
3711352.00,0.21,,,,8.37,,,8.58
3711560.00,,,,,0.62,,,0.62
3711620.00,,,,,7.28,,,7.28
3711640.00,,,,,1.73,,,1.73
3711800.00,1.00,,,,9.38,,,10.38
3712000.00,0.02,,,,6.13,,,6.15
3712140.00,1.39,,,,6.44,,,7.83
3712186.00,1.46,,,,40.36,,,41.82
3712340.00,0.03,,,,1.56,,,1.59
3712460.00,0.74,,,,2.10,,,2.84
3712480.00,0.24,,,,3.00,,,3.23
3712520.00,,,,,51.00,,,51.00
3712580.00,0.53,,,,0.74,,,1.27
3712590.00,0.13,,,,19.47,,,19.60
3712720.00,2.00,,,,3.37,,,5.36
3712780.00,,,,,0.31,,,0.31
3712860.00,1.09,,,,6.63,,,7.72
3712960.00,0.50,,,,8.43,,,8.93
3713000.00,,,,,0.71,,,0.71
3713100.00,,,,,8.06,,,8.06
3713240.00,,,,,6.02,,,6.02
3713280.00,,,4.86,,32.51,,,37.37
3713460.00,3.39,,,,0.85,,,4.24
3713500.00,3.57,,,,71.03,,,74.60
3713940.00,,,,,100.00,,,100.00
3713980.00,,,,,0.73,,,0.73
3714060.00,,,,,0.18,,,0.18
3714100.00,1.20,,,,9.56,,,10.77
3714200.00,12.27,,,,34.64,,,46.92
3714280.00,,,,,3.54,,,3.54
3714340.00,0.42,,,,5.26,,,5.68
3714400.00,1.21,,,,3.40,,,4.61
3714460.00,,,,,9.76,,,9.76
3714600.00,,,,,3.19,,,3.19
3714700.00,0.02,,,,6.70,,,6.72
3715040.00,0.17,,,,2.82,,,2.99
3715260.00,1.23,,,0.17,17.48,,,18.89
3715320.00,,,,,11.86,,,11.86
3715420.00,1.23,,,,20.43,,,21.66
3715440.00,0.03,,,,0.35,,,0.38
3715580.00,0.84,,,,5.39,,,6.23
3715640.00,1.09,,,,8.66,,,9.74
3715880.00,3.47,,,,16.16,,,19.63
3716084.00,0.87,,,,24.63,,,25.50
3716180.00,1.71,,,,6.50,,,8.20
3716220.00,,,0.10,,0.87,,,0.98
3716240.00,,,,,3.90,,,3.90
3716400.00,0.04,,,,12.44,,,12.48
3716480.00,,,,,100.00,,,100.00
3716720.00,0.68,,,,8.82,,,9.50
3716780.00,,,,,19.61,,,19.61
3716860.00,,,,,2.23,,,2.23
3717000.00,0.23,,,,1.99,,,2.22
3717180.00,7.31,,,,16.50,,,23.82
3717325.00,,,,,0.84,,,0.84
3717340.00,,,,,0.42,,,0.42
3717520.00,0.16,,,,1.51,,,1.67
3717860.00,0.18,,,,2.09,,,2.27
3718060.00,30.47,,,,38.05,10.64,,79.16
3718080.00,0.42,,,,1.42,,,1.85
3718300.00,,,,,8.55,,,8.55
3718320.00,1.19,,,,5.88,,,7.07
3719000.00,0.34,,,0.03,10.94,,,11.31
3719320.00,,,,,0.22,,,0.22
3719420.00,,,,,7.66,,,7.66
3719620.00,2.37,,,,49.59,,,51.96
3719740.00,19.11,,,,9.48,,,28.60
3719800.00,0.11,,,,5.07,,,5.18
3719860.00,1.04,,,,8.11,,,9.15
3720080.00,0.92,,,0.00,10.67,,,11.60
3720120.00,1.52,,,,16.03,,,17.55
3720280.00,,,,,3.45,,,3.45
3720420.00,0.44,,,,2.32,,,2.76
3720580.00,9.63,,,0.03,34.00,,,43.66
3720600.00,,,,,7.24,,,7.24
3720620.00,0.95,,,,8.60,,,9.55
3720700.00,,,,,7.54,,,7.54
3720980.00,0.75,,,,3.37,,,4.12
3721095.00,0.24,,,,4.03,,,4.27
3721120.00,,,,,1.17,,,1.17
3721130.00,6.27,,,,3.38,,,9.65
3721160.00,18.01,,,,25.87,13.44,,57.33
3721260.00,,,,,3.92,,,3.92
3721380.00,0.66,,,,96.07,,,96.73
3721500.00,0.30,,,,7.59,,,7.88
3721740.00,8.32,,,,3.68,,,12.00
3721880.00,,,1.51,,14.96,,,16.48
3722080.00,,,,,5.04,,,5.04
3722240.00,14.26,,,,55.70,,,69.96
3722280.00,,,,,95.27,4.73,,100.00
3722305.00,8.86,,,,78.96,,,87.82
3722360.00,0.80,,,,10.11,,,10.91
3722380.00,,,,,1.48,,,1.48
3722440.00,,,,,3.66,,,3.66
3722500.00,0.64,,,,10.27,,,10.91
3722560.00,,,,,1.29,,,1.29
3722600.00,,,,,3.43,,,3.43
3722620.00,,,,,18.32,,,18.32
3722800.00,,,,,11.63,,,11.63
3722820.00,0.99,,,,1.26,,,2.25
3722920.00,4.68,,,0.13,5.70,,,10.51
3723520.00,,,,,4.76,,,4.76
3723600.00,,,0.44,,5.27,,,5.71
3723640.00,1.06,,,,8.63,,,9.69
3723760.00,2.87,,0.07,,30.71,,,33.65
3723980.00,,,,1.19,,,,1.19
3724080.00,0.65,,,,3.67,,,4.32
3724170.00,1.33,,,,2.92,,,4.24
3724198.00,0.37,,,,2.12,,,2.49
3724380.00,1.21,,,,5.84,,,7.05
3724440.00,,,,,1.39,,,1.39
3724520.00,0.09,,,,4.46,,,4.55
3724570.00,,,,,1.04,,,1.04
3724640.00,1.38,,,,11.21,,,12.59
3724720.00,,,,,3.09,,,3.09
3724740.00,0.89,,,,14.75,,,15.64
3725020.00,21.95,,,,38.66,38.34,,98.96
3725160.00,,,0.51,,7.59,,,8.09
3725300.00,0.60,,,0.06,4.41,,,5.08
3725380.00,1.33,,,,17.50,,,18.83
3725480.00,0.72,,,0.19,6.69,,,7.60
3725560.00,8.98,,,,17.95,,,26.93
3725580.00,1.21,,,0.00,7.25,,,8.46
3725680.00,,,,,5.55,,,5.55
3725880.00,,,,,11.47,,,11.47
3725900.00,,,,,1.25,,,1.25
3725980.00,1.03,,,,3.41,,,4.44
3726200.00,0.97,,,,1.56,,,2.53
3726460.00,0.76,,,,7.26,,,8.02
3726520.00,,,,,3.47,,,3.47
3726560.00,,,,,11.49,,,11.49
3726680.00,29.76,,,,69.86,0.39,,100.00
3726880.00,4.37,,,,26.63,,,31.00
3727120.00,0.49,,,,8.42,,,8.90
3727180.00,,,,,2.33,,,2.33
3727182.00,,,,,11.65,,,11.65
3727280.00,1.28,,,,7.66,,,8.95
3727300.00,1.54,,,,18.87,,,20.40
3727324.00,0.02,,,,5.11,,,5.12
3727400.00,1.86,,,,22.82,14.71,,39.38
3727420.00,0.12,,,,2.96,,,3.08
3727440.00,0.99,,,,9.10,,,10.09
3727520.00,,,,,4.48,,,4.48
3727870.00,0.17,,,,0.69,,,0.87
3728000.00,0.39,0.00,,,9.75,,,10.14
3728080.00,3.02,,,,24.08,,,27.10
3728200.00,4.69,,,,23.51,,,28.20
3728400.00,,,,,0.09,,,0.09
3728600.00,,,,,6.21,,,6.21
3728900.00,0.75,,,,17.99,,,18.74
3728920.00,3.47,,,,4.95,,,8.43
3729000.00,2.16,,,,18.84,,,21.00
3729120.00,,,,,4.74,,,4.74
3729160.00,0.63,,,,7.70,,,8.33
3729180.00,,,,0.66,5.29,4.22,,10.17
3729560.00,6.45,,,,58.47,10.90,,75.82
3729800.00,2.28,,,,13.62,,,15.90
3730100.00,1.31,,,,37.23,58.61,,97.16
3730120.00,1.80,,,,13.61,,,15.41
3730260.00,1.79,,,,10.22,,,12.01
3730280.00,,,,,13.20,,,13.20
3730340.00,,,,,0.40,,,0.40
3730620.00,1.25,,,,7.90,,,9.15
3730660.00,,,,1.39,1.78,,,3.17
3730720.00,,,1.94,,13.49,,,15.43
3730800.00,,,,,10.05,,,10.05
3730900.00,2.28,,,1.38,20.13,,,23.80
3731060.00,0.85,,,,3.04,,,3.89
3731260.00,,,,,1.16,,,1.16
3731360.00,0.06,,,,3.91,,,3.97
3731400.00,0.82,,,0.57,8.09,,,9.49
3731440.00,0.79,,,,13.46,,,14.25
3731490.00,3.79,,,,49.02,,,52.81
3731500.00,0.10,,,,0.89,,,0.99
3731620.00,0.81,,,,6.38,,,7.19
3731860.00,,,,,1.89,,,1.89
3731880.00,,,,,99.73,0.27,,100.00
3731920.00,,,,,1.13,,,1.13
3731960.00,4.32,,,,60.13,33.04,,97.49
3732100.00,,,,,13.04,,,13.04
3732180.00,0.06,,,,3.34,1.06,,4.46
3732260.00,0.62,,,0.02,5.98,,,6.62
3732540.00,1.63,,,,13.98,,,15.61
3732580.00,0.29,,,,1.11,,,1.40
3732640.00,2.13,,,,8.81,,,10.94
3732740.00,,,1.30,,19.37,,,20.67
3732840.00,,,3.37,,19.24,,,22.62
3732980.00,0.78,,,,7.16,,,7.95
3733120.00,0.00,,,,7.24,,,7.24
3733320.00,0.05,,,,1.34,,,1.39
3733460.00,36.77,,,,29.62,28.87,,95.26
3733560.00,0.80,,,,8.59,,,9.39
3733640.00,0.50,,,,26.75,,,27.26
3733820.00,,,,,2.04,,,2.04
3733940.00,1.41,,,1.46,42.13,,,45.00
3733993.00,,,,,24.53,,,24.53
3734000.00,3.07,,,,10.52,,,13.59
3734038.00,9.97,,,,7.47,,,17.44
3734160.00,1.10,,,,6.45,,,7.55
3734200.00,0.92,,,,24.20,,,25.12
3734260.00,2.02,,,,51.23,,,53.25
3734300.00,2.07,,,,9.30,,,11.37
3734320.00,2.88,,,,25.37,,,28.25
3734440.00,0.34,,,,3.00,,,3.33
3734840.00,2.76,,,,13.08,,,15.84
3735200.00,0.71,,,,8.84,,,9.55
3735340.00,,,,,1.88,,,1.88
3735360.00,,,,,13.09,,,13.09
3735440.00,,,,,99.42,,,99.42
3735460.00,,,,,9.75,,,9.75
3735540.00,0.68,,,,7.02,,,7.70
3735600.00,0.45,,,,4.83,,,5.27
3735720.00,34.46,,,0.37,57.02,7.30,,99.16
3735760.00,0.35,,,0.00,2.17,,,2.52
3735870.00,1.88,,,,13.84,,,15.72
3735880.00,0.35,,,,2.79,,,3.14
3735890.00,,,,,4.87,,,4.87
3735920.00,4.66,,,,20.66,,,25.32
3736060.00,19.43,,,,76.82,3.09,,99.35
3736080.00,0.79,,,0.10,5.87,,,6.75
3736220.00,24.12,,,,2.08,21.95,,48.15
3736400.00,0.23,,,,2.20,,,2.43
3736480.00,,,0.44,,8.12,,,8.56
3736500.00,0.06,,,,11.44,,,11.50
3736510.00,,,,,27.69,,,27.69
3736511.00,,,,,48.42,,,48.42
3736512.00,0.02,,,,1.61,,,1.63
3736513.00,0.50,,,,15.10,,,15.60
3736514.00,,,,,9.49,,,9.49
3736640.00,5.14,,,4.31,15.07,,,24.51
