Place FIPS,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,0.2 PCT ANNUAL CHANCE FLOOD HAZARD CONTAINED IN CHANNEL,0.2 PCT ANNUAL CHANCE HAZARD,A,AE,VE,(blank),Grand Total
3736860.00,0.19,,,,6.27,,,6.45
3736960.00,1.42,,,,18.47,,,19.89
3737000.00,,,,,0.03,,,0.03
3737120.00,,,,,7.98,,,7.98
3737160.00,,,0.50,,1.13,,,1.63
3737220.00,0.27,,,,6.59,,,6.86
3737260.00,,,,,13.21,,,13.21
3737640.00,0.64,,,,10.11,,,10.75
3737680.00,1.94,,,2.42,15.34,,,19.70
3737760.00,1.69,,,0.03,11.25,,,12.97
3738030.00,1.18,,,,4.36,,,5.54
3738040.00,0.18,,,,1.82,,,2.00
3738060.00,0.70,,,,7.67,,,8.37
3738100.00,,,,,1.77,,,1.77
3738170.00,0.08,,,,0.27,,,0.35
3738220.00,5.10,,,,9.97,,,15.07
3738320.00,1.14,,,,7.33,,,8.47
3738360.00,26.32,,,,0.01,,,26.33
3738420.00,1.50,,,,5.77,,,7.27
3738860.00,0.07,,,,1.51,,,1.58
3739060.00,7.90,,,,31.12,,,39.01
3739280.00,0.41,,,,3.43,,,3.84
3739360.00,2.81,,,,13.39,,,16.19
3739480.00,0.45,,,,0.83,,,1.28
3739520.00,,,,,2.60,,,2.60
3739540.00,,,,,3.50,,,3.50
3739600.00,0.14,,,,1.38,,,1.52
3739680.00,,,,,10.37,,,10.37
3739700.00,15.15,,,,29.74,,,44.88
3739880.00,1.84,,,,14.08,,,15.91
3739960.00,0.11,,,,0.71,,,0.82
3740140.00,,,,,1.95,,,1.95
3740460.00,1.56,,,,3.49,,,5.05
3740560.00,5.10,,,,19.05,,,24.15
3740600.00,,,3.22,,11.22,,,14.44
3740660.00,0.33,,,,8.72,,,9.05
3740860.00,,,,,0.37,,,0.37
3740980.00,1.95,,,,95.28,2.77,,100.00
3741060.00,1.50,,,,96.52,1.98,,100.00
3741220.00,2.73,,,,4.48,,,7.20
3741380.00,,,,,7.30,,,7.30
3741420.00,0.91,,,,6.05,,,6.97
3741540.00,2.62,,,,21.64,,,24.26
3741580.00,,,0.97,,10.37,,,11.34
3741600.00,2.27,,,,97.73,,,100.00
3741620.00,1.03,,,,3.08,,,4.10
3741640.00,0.03,,,,3.21,,,3.23
3741720.00,0.92,,,,6.68,,,7.60
3741960.00,0.00,,,,2.27,,,2.27
3742020.00,0.04,,,,8.37,,,8.41
3742060.00,1.61,,,,7.64,,,9.25
3742100.00,,,,,3.65,,,3.65
3742240.00,0.33,,,,4.63,,,4.96
3742480.00,,,,,100.00,,,100.00
3742700.00,,,,,0.27,,,0.27
3742760.00,0.96,,,,5.63,,,6.59
3742860.00,0.03,,,,1.21,,,1.24
3743200.00,,,,,1.45,,,1.45
3743260.00,0.25,,1.36,,14.46,,,16.07
3743300.00,3.16,,,,19.28,,,22.44
3743320.00,,,,,6.94,,,6.94
3743360.00,0.05,,,,4.64,,,4.70
3743440.00,3.78,,,,7.65,,,11.43
3743480.00,,,,,3.08,,,3.08
3743580.00,,,,,3.40,,,3.40
3743720.00,1.02,,,,3.23,,,4.24
3743880.00,0.30,,,,17.16,,,17.46
3743920.00,0.65,,,,6.47,,,7.12
3744100.00,0.65,,,,1.51,,,2.17
3744160.00,,,,,0.33,,,0.33
3744220.00,0.42,,,,2.84,,,3.27
3744280.00,,,,,6.98,,,6.98
3744320.00,5.26,,,,47.52,2.33,,55.11
3744400.00,2.85,,,,14.15,,,17.01
3744520.00,2.32,,,0.02,7.59,,,9.94
3744560.00,,,,,2.30,,,2.30
3744700.00,,,0.87,,10.10,,,10.98
3744770.00,0.39,,,,5.35,,,5.74
3744800.00,2.10,,,,9.34,,,11.44
3744900.00,0.03,,,,0.28,,,0.31
3744960.00,1.02,,,,11.36,,,12.38
3745100.00,0.03,,,,0.35,,,0.37
3745140.00,0.49,,,,5.14,,,5.63
3745460.00,25.58,,,,19.01,,,44.59
3745560.00,,,,,1.60,,,1.60
3745640.00,3.69,,,,7.36,,,11.05
3745660.00,2.72,,,,18.81,,,21.53
3745720.00,0.15,,,,3.91,,,4.05
3745840.00,4.97,,,,8.57,15.43,,28.96
3745880.00,35.00,,,0.28,46.56,15.92,,97.76
3746000.00,1.09,,,,11.41,,,12.50
3746060.00,1.51,,,,32.23,,,33.74
3746100.00,,,,,2.69,,,2.69
3746280.00,0.88,,,,8.95,,,9.83
3746340.00,3.54,,,,30.02,,,33.56
3746650.00,0.26,,,,9.48,,,9.74
3746740.00,4.54,,,,15.52,,,20.07
3746820.00,,,,,0.70,,,0.70
3746860.00,1.00,,,,10.98,,,11.98
3747000.00,0.51,,,,6.87,,,7.38
3747020.00,0.64,,,,5.96,,,6.60
3747485.00,1.79,,,,5.40,,,7.19
3747695.00,0.09,,,,23.97,,,24.06
3747845.00,,,,,15.48,83.24,,98.72
3747860.00,,,,,1.89,,,1.89
3747880.00,5.91,,,,12.09,,,18.00
3747980.00,0.23,,,,1.98,,,2.21
3748040.00,,,,,0.12,,,0.12
3748060.00,,,,,0.01,,,0.01
3748345.00,6.36,,,,21.98,6.62,,34.96
3748480.00,1.37,,,,5.80,,,7.18
3748700.00,2.18,,,,51.62,19.13,,72.93
3748740.00,1.08,,,,71.07,16.24,,88.39
3748790.00,8.10,,,,25.70,5.26,,39.06
3748920.00,4.03,,,,12.34,,,16.38
3749380.00,12.72,,,,74.46,,,87.18
3749460.00,,,,,6.99,,,6.99
3749600.00,0.65,,,,5.02,,,5.67
3749800.00,0.20,,,0.15,3.98,,,4.33
3750080.00,18.74,,,,55.89,,,74.63
3750340.00,2.52,,,,5.23,,,7.75
3750820.00,0.29,,,,3.03,,,3.32
3751040.00,2.39,,,,10.40,,,12.79
3751080.00,0.66,,,,1.49,,,2.15
3751780.00,4.06,,,,3.48,,,7.54
3751820.00,0.30,,,,1.21,,,1.52
3751840.00,1.86,,,,5.27,,,7.13
3751940.00,0.16,,,,6.30,,,6.47
3752000.00,14.57,,,,44.07,4.83,,63.48
3752020.00,,,,,9.13,,,9.13
3752160.00,0.48,,,,12.35,,,12.83
3752220.00,,,,,21.88,,,21.88
3752260.00,0.81,,,,11.19,,,12.00
3752500.00,,,,,2.70,,,2.70
3752660.00,0.61,,,,5.44,,,6.05
3752685.00,,,,,11.66,,,11.66
3752760.00,0.30,,,,1.77,,,2.07
3752920.00,0.01,,,,2.55,,,2.56
3753040.00,10.08,,,,35.70,,,45.78
3753140.00,2.19,,,,13.85,,,16.04
3753160.00,,,,,0.29,,,0.29
3753200.00,7.32,,,,31.15,,,38.47
3753475.00,5.74,,,,11.54,6.86,,24.14
3753580.00,,,,,4.16,,,4.16
3753820.00,,,,,0.24,,,0.24
3753840.00,,,,,19.13,,,19.13
3753900.00,,,,,7.25,,,7.25
3753950.00,,,,,4.15,,,4.15
3754160.00,2.60,,,,13.90,,,16.50
3754580.00,0.23,,,,3.38,,,3.62
3754600.00,,,,,7.35,,,7.35
3755000.00,0.94,,,0.10,8.01,,,9.05
3755040.00,0.60,,,,21.33,,,21.93
3755080.00,0.01,,,,4.95,,,4.96
3755260.00,0.07,,,,3.03,,,3.10
3755460.00,,,,,0.29,,,0.29
3755640.00,0.19,,,,3.53,,,3.72
3755660.00,,,,,11.36,,,11.36
3755900.00,0.63,,,,13.35,,,13.98
3755940.00,,,,,10.05,,,10.05
3756240.00,,,,,9.08,,,9.08
3756340.00,,,,,4.91,,,4.91
3756360.00,1.57,,,,12.65,,,14.22
3756600.00,,,,1.50,16.39,,,17.89
3756710.00,1.56,,,,40.65,,,42.21
3756815.00,13.68,,,,46.45,,,60.13
3756900.00,6.16,,,,7.45,,,13.61
3757000.00,2.66,,,,10.80,,,13.46
3757020.00,5.01,,,,11.81,,,16.82
3757039.00,0.24,,,,10.59,,,10.84
3757100.00,,,,,0.03,,,0.03
3757200.00,0.63,,,,7.51,,,8.14
3757260.00,1.00,,,,10.38,,,11.38
3757340.00,,,,,3.63,,,3.63
3757500.00,5.06,,,,17.78,,,22.84
3757540.00,,,,,0.06,,,0.06
3757580.00,0.24,,,,61.61,35.26,,97.12
3757640.00,0.17,,,0.00,1.61,,,1.78
3757700.00,2.26,,,,10.48,,,12.75
3757740.00,7.74,,,,25.31,,,33.05
3758020.00,,,8.81,,19.99,,,28.79
3758040.00,,,,,2.45,,,2.45
3758140.00,,,,,0.42,,,0.42
3758160.00,0.42,,,,3.32,,,3.75
3758180.00,0.17,,,,1.59,,,1.76
3758260.00,0.15,,,,0.85,,,1.01
3758340.00,,,,,3.42,,,3.42
3758360.00,0.36,,,,2.85,,,3.21
3758420.00,,,,,1.11,,,1.11
3758440.00,,,,,1.01,,,1.01
3758460.00,0.62,,,,3.89,,,4.52
3758620.00,,,,,3.71,,,3.71
3758630.00,5.70,,,,13.78,1.62,,21.10
3758720.00,,,,,0.24,,,0.24
3758730.00,0.37,,,,7.17,,,7.54
3758740.00,0.26,,,,3.00,,,3.27
3758840.00,,,,,0.93,,,0.93
3758860.00,0.64,,,,10.01,,,10.65
3758920.00,,,,,0.00,,,0.00
3758940.00,,,,,71.61,25.15,,96.75
3759090.00,,,,0.01,,,,0.01
3759135.00,,,,,11.56,,,11.56
3759280.00,0.45,,,,5.68,,,6.13
3759540.00,0.16,,,,2.79,,,2.95
3759580.00,0.85,,,,14.34,,,15.19
3760000.00,21.34,,,,29.39,15.67,,66.40
3760080.00,,,,,0.32,,,0.32
3760180.00,0.35,,,,3.01,,,3.35
3760320.00,1.55,,,,7.51,,,9.06
3760515.00,,,,,6.85,,,6.85
3760540.00,2.08,,,,50.32,,,52.40
3760560.00,,,,,8.42,,,8.42
3760800.00,6.87,,,0.50,13.48,0.05,,20.90
3760940.00,,,,,23.44,,,23.44
3761200.00,0.62,,,,4.46,,,5.08
3761860.00,0.72,,,,6.36,,,7.08
3761920.00,2.97,,,,14.20,,,17.17
3761950.00,5.30,,,,13.74,,,19.04
3762040.00,0.19,,,,1.87,,,2.07
3762060.00,,,,,2.39,,,2.39
3762190.00,0.94,,,,7.50,,,8.45
3762520.00,6.23,,,,27.12,,,33.35
3762680.00,0.51,,,,39.32,5.00,,44.83
3762760.00,0.34,,,,10.33,,,10.67
3763120.00,0.17,,,,2.49,,,2.66
3763130.00,48.43,,,,43.90,6.88,,99.21
3763240.00,,,,0.60,0.38,,,0.98
3763340.00,2.09,,,1.16,84.29,,,87.54
3763360.00,,,,,32.37,,,32.37
3763400.00,8.35,,,,20.15,3.11,,31.61
3763470.00,0.23,,,,3.23,,,3.46
3763560.00,15.22,,,,4.05,,,19.27
3763680.00,0.72,,,,5.82,,,6.54
3763720.00,1.90,,,,20.40,,,22.30
3763760.00,,,,,5.39,,,5.39
3763780.00,2.84,,,,24.19,,,27.03
3763880.00,,,,,1.12,,,1.12
3763920.00,,,,,4.30,,,4.30
3764000.00,,,,,10.12,,,10.12
3764050.00,0.24,,,,3.23,,,3.47
3764180.00,0.74,,,,6.59,,,7.33
3764260.00,,,1.86,,4.53,,,6.40
3764420.00,0.45,,,,4.35,,,4.79
3764460.00,,,,,2.41,,,2.41
3764500.00,,,,,1.18,,,1.18
3764560.00,0.44,,,,4.52,,,4.96
3764740.00,0.66,,,,6.92,,,7.58
3764840.00,,,,,6.52,,,6.52
3764940.00,0.41,,,,4.55,,,4.96
3765020.00,,,,,5.68,,,5.68
3765040.00,0.65,,,,3.57,,,4.22
3765120.00,12.83,,,,63.99,,,76.82
3765260.00,,,,,1.91,,,1.91
3765580.00,0.56,,,,5.01,,,5.57
3765700.00,4.58,,,,26.59,,,31.17
3765900.00,4.48,,,,20.26,20.02,,44.75
3766040.00,0.85,,,1.25,36.02,27.76,,65.89
3766280.00,1.47,,,,5.88,,,7.35
3766340.00,,,,,96.81,3.19,,100.00
3766360.00,1.88,,,,5.65,6.14,,13.67
3766460.00,0.55,,,,11.95,,,12.50
3766500.00,0.98,,,,5.70,,,6.68
3766520.00,,,,,8.22,,,8.22
3766700.00,5.06,,,,16.64,,,21.71
3766960.00,,,,,1.98,,,1.98
3766980.00,,,,,4.38,,,4.38
3767420.00,0.62,,,,4.03,,,4.65
3767700.00,0.55,,,,8.82,,,9.37
3767720.00,0.49,,,,4.36,,,4.85
3768040.00,0.05,,,,32.22,65.92,,98.18
3768320.00,40.97,,,,29.76,,,70.73
3768340.00,5.79,,,,32.13,,,37.92
3768400.00,0.46,,,,3.12,,,3.59
3768500.00,,,,,3.69,,,3.69
3768520.00,0.11,,,,1.76,,,1.87
3768580.00,0.83,,,,8.91,,,9.74
3768740.00,,,,,10.60,,,10.60
3769020.00,0.12,,,,1.75,,,1.87
3769260.00,0.15,,,,4.16,,,4.31
3769520.00,0.17,,,,7.21,,,7.38
3769600.00,1.11,,,,10.61,,,11.73
3769640.00,,,0.31,,5.88,,,6.19
3769680.00,5.03,,,,30.64,,,35.67
3769720.00,,,,,97.54,,,97.54
3769755.00,,,,,1.36,,,1.36
3769795.00,6.90,,,,17.87,,,24.77
3769840.00,,,,,0.36,,,0.36
3770320.00,,,,,5.76,,,5.76
3770340.00,2.71,,,,0.53,,,3.24
3770380.00,,,,,2.61,,,2.61
3770480.00,0.09,,,,0.90,,,1.00
3770540.00,0.78,,,0.02,9.19,,,9.99
3770580.00,,,,,10.41,,,10.41
3770660.00,0.41,,,,2.31,,,2.72
3770720.00,0.60,,,,9.81,,,10.41
3770740.00,0.09,,,,3.04,,,3.13
3770780.00,,,,,15.81,,,15.81
3770820.00,1.43,,,,21.97,,,23.39
3770920.00,4.43,,,,85.78,9.80,,100.00
3771100.00,,,,,0.21,,,0.21
3771160.00,,,,,2.33,,,2.33
3771220.00,9.55,,,,42.50,,,52.05
3771240.00,2.27,,,,89.56,,,91.83
3771320.00,2.04,,,1.90,6.43,,,10.37
3771440.00,,,,,74.94,23.00,,97.93
3771460.00,0.74,,,,7.49,,,8.23
3771500.00,,,1.35,,12.05,,,13.40
3771560.00,0.45,,,,2.13,,,2.57
3771600.00,1.22,,,,8.44,,,9.67
3771680.00,0.30,,,,6.09,,,6.39
3771760.00,0.07,,,,3.94,,,4.01
3771780.00,9.59,,,,25.56,,,35.14
3771860.00,1.04,,,,6.45,,,7.49
3771900.00,,,,,0.72,,,0.72
3771940.00,0.73,,,,9.19,,,9.92
3772150.00,,,1.33,,4.61,,,5.94
3772540.00,0.46,,,,3.70,,,4.16
3772600.00,,,,,1.07,,,1.07
3772755.00,,,,,34.81,,,34.81
3773140.00,1.92,,,,11.91,,,13.83
3773160.00,1.88,,,,8.57,,,10.45
3773300.00,,,,,0.00,,,0.00
3773320.00,,,,,22.73,,,22.73
3773460.00,0.67,,,,4.96,,,5.63
3773660.00,1.95,,,,19.26,,,21.21
3773780.00,3.83,,,,17.66,,,21.49
3774020.00,3.98,,,,15.83,,,19.81
3774220.00,6.00,,,,8.38,,,14.38
3774440.00,4.22,,,,12.78,2.14,,19.14
3774540.00,2.63,,,,16.69,,,19.31
3774580.00,0.14,,,,3.98,,,4.12
3774680.00,9.86,,,,22.65,,,32.51
3774720.00,2.34,,,,21.54,,,23.88
3774760.00,0.43,,,,4.39,,,4.82
3775000.00,0.58,,,,6.87,,,7.46
3775060.00,1.55,,,,7.14,,,8.69
3775080.00,,,,,7.23,,,7.23
3775280.00,1.20,,,,8.07,,,9.26
3775340.00,,,,,2.75,,,2.75
3775375.00,0.45,,,,8.74,,,9.19
3775780.00,1.02,,,,23.96,,,24.98
3775820.00,0.72,,,,59.29,39.54,,99.54
3775880.00,,,,,18.05,,,18.05
3775960.00,,,,,0.09,,,0.09
3776000.00,0.01,,,,4.78,,,4.79
3776200.00,,,,,1.29,,,1.29
3776220.00,0.58,,,0.13,3.58,,,4.29